date,rating,review
2019-08-24,5.0,"Junto com A Visita (2015), Parasite é um dos filmes dessa década que melhor trabalha com uma variedade de gêneros cinematográficos. O filme começa como uma comédia de costumes que beira o absurdo (remete um pouco até ao cinema de Yorgos Lanthimos), mas acaba transitando entre vários tons (thriller, drama, terror) sem nunca perder a sua unidade dramática.
Uma unidade dramática que tira forças justamente dessa variedade. Na medida em que novas histórias e personagens são incluídos (como a empregada… more"
2019-06-28,5.0,"MASTERPIECE.
Parasite is well written. Funny. Stressful. Thrilling. Intoxicating. Incredible. Terrific. Brilliant.
It's about social discrepancy between the rich and the poor. And yeah the title ""Parasite"" perfectly captures what this movie is all about. Just believe me, the hype is real!! You will laugh your ass off and later you might hold tight to your seat.
And that ending tho!!! I was silent for a moment and like.... Oke... Hhmmm.... Oh my god..... FUCK!!! (high level depression)
(The grand line of the movie rests presumably in the argument that people failed because of fate and succeeded also because of their fate.)"
2025-02-07,5.0,"It’s one thing if you don’t like this movie, but I don’t understand the people who give this 4.5 stars like what more could you possibly want from a movie"
2019-05-25,4.0,"If you thought Shoplifters needed the excitement of Crank: High Voltage, then boy do I have a film for you!"
2019-11-05,5.0,"me, yelling at the kims as i watch this for the third time, knowing full well what’s gonna happen to them: [timothee chalamet british accent] [bangs fist on wall] STOP THE FUCKING CHARADE!!!!!!!!!!! STOP IT!!!!!"
2020-02-10,5.0,"""Hell, if i had all this money, I'd be nice too.""
i remember when i used to visit my father on the weekends as a kid, and one day i told him i wanted to make movies. he laughed in my face, saying they were a waste of time (and by extension i was wasting mine) and if he wanted to sit around for two hours, he'd do it talking to friends. i remember the two of us watching a… more"
2019-10-17,5.0,"""It's so metaphorical.""
Parasite is an operatic, Shakespearean tragedy, and more specifically it is a modern take on the tragedy of the commons—one that actually critiques the traditional 20th century theory and reinvigorates the idea for contemporary society.
The tragedy of the commons is a concept originally formulated in the 1800’s to explain phenomena like overgrazing, situations where independent groups acting in their own self-interest in a shared-resource system work incidentally or unconsciously against the common good (e.g. cows that… more"
2019-10-30T23:42:35.220Z,4.5,"Let's get one thing straight: Parasite is phenomenal. It's a stunning, subtle, and immensely powerful piece on class warfare and the nature of the human condition. It's also a tense, funny, extremely entertaining film that didn't feel its length at all. Go into it without knowing anything if you can; it made my viewing experience all the more exciting.
But with that said...I didn't really like the ending? Tons of details, character arcs, and storylines felt like they were dropped… more"
2019-11-13,4.5,"Bevor ich 'Parasite' sah, wusste ich nur drei Dinge über den Film:
1.) Ich kenne und liebe Hauptdarsteller Song Kang-ho (The Good, The Bad, The Weird).
2.) Ich kenne das Poster.
3.) Jeder, den ich kenne und der den Film bereits kennt, bezeichnet ihn als den besten Film des Jahres.
Ich wusste also nicht, was mich genau erwarten würde. Ich sah keinen Trailer. Ich las keine Inhaltsangabe. Ich glaubte an ein Gesellschaftsdrama. Ich hoffte auf eine Komödie. Ich rätselte wie… more"
2019-11-02,5.0,"This is a must-see film with great acting and fun, witty characters. I was intrigued the entire run time."
